,Oferta od,Kategoria,Pokaż oferty z numerem VIN,Ma numer rejestracyjny,Marka pojazdu,Model pojazdu,Wersja,Generacja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Spalanie Poza Miastem,Spalanie W Mieście,Typ nadwozia,Emisja CO2,Liczba drzwi,Liczba miejsc,Kolor,Rodzaj koloru,Data pierwszej rejestracji w historii pojazdu,Numer rejestracyjny pojazdu,Zarejestrowany w Polsce,Stan,price,currency,Rok,Przebieg_add,Paliwo,Typ_nadwozia_add,Pierwszy właściciel (od nowości),Bezwypadkowy,Serwisowany w ASO,Kraj pochodzenia,Filtr cząstek stałych,VAT marża,Uszkodzony,Spalanie W Cyklu Mieszanym,VIN,Możliwość finansowania,Tuning,Leasing,Gwarancja dealerska (w cenie),Miesięczna rata,Zarejestrowany jako zabytek,lub do (przebieg km),Faktura VAT,Kierownica po prawej (Anglik),id
0,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-3,2.0T Vector,II (2003-2011),2008,320 000 km,1 998 cm3,Benzyna+LPG,210 KM,Automatyczna,Na przednie koła,6.5 l/100km,"13,70 l/100km",Sedan,218 g/km,4,5,Szary,Metalik,01/01/2008,wt94866,Tak,Używane,22900,PLN,2008,320 000 km,Benzyna+LPG,Sedan,,,,,,,,,,,,,,,,,,,400
1,Osoby prywatnej,Osobowe,Tak,,Saab,9-3,1.8t Sport-Kombi Vector,II (2003-2011),2008,229 000 km,1 998 cm3,Benzyna,150 KM,Manualna,Na przednie koła,,10 l/100km,Kombi,,5,5,Inny kolor,Metalik,,,,Używane,15900,PLN,2008,229 000 km,Benzyna,Kombi,Tak,Tak,Tak,,,,,,,,,,,,,,,,401
2,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-3,,II (2003-2011),2010,258 722 km,1 910 cm3,Diesel,120 KM,Manualna,Na przednie koła,,,Sedan,,4,5,Biały,Metalik,24/06/2010,LPU94651,Tak,Używane,24700,PLN,2010,258 722 km,Diesel,Sedan,,,,Holandia,,,,,,,,,,,,,,,402
3,Osoby prywatnej,Osobowe,Tak,,Saab,9-7X,,,2006,166 000 km,5 328 cm3,Benzyna+LPG,300 KM,Automatyczna,4x4 (dołączany automatycznie),,,Kombi,,5,5,Czarny,Metalik,12/07/2006,,Tak,Używane,26500,PLN,2006,166 000 km,Benzyna+LPG,Kombi,,,,,,,,,,,,,,,,,,,403
4,Osoby prywatnej,Osobowe,Tak,,Saab,9-3,1.9 TiD Sport Kombi DPF Vector,,2006,331 000 km,1 910 cm3,Diesel,120 KM,Manualna,,,"7,30 l/100km",Kombi,,5,5,Czarny,Metalik,,,,Używane,11500,PLN,2006,331 000 km,Diesel,Kombi,,,,,Tak,,,,,,,,,,,,,,404
5,Osoby prywatnej,Osobowe,Tak,,Saab,9-3,,,2007,195 000 km,1 910 cm3,Diesel,120 KM,Manualna,,,,Kombi,,5,5,Czarny,Metalik,,,,Używane,6500,PLN,2007,195 000 km,Diesel,Kombi,,,,,,,,,,,,,,,,,,,405
6,Osoby prywatnej,Osobowe,Tak,,Saab,9-3,1.8t Sport-Kombi Vector,II (2003-2011),2006,208 726 km,1 998 cm3,Benzyna,150 KM,Manualna,Na przednie koła,5.9 l/100km,"10,90 l/100km",Kombi,185 g/km,5,5,Czarny,Metalik,,,,Używane,7800,PLN,2006,208 726 km,Benzyna,Kombi,,,,,,,,,,,,,,,,,,,406
7,Osoby prywatnej,Osobowe,Tak,,Saab,9-3,SE 2.0TS,I (1998-2002),2001,239 200 km,1 985 cm3,Benzyna,205 KM,Manualna,,,13 l/100km,Kompakt,,5,5,Czerwony,,,,,Używane,14000,PLN,2001,239 200 km,Benzyna,Kompakt,,,,,,,,,,,,,,,,,,,407
8,Firmy,Osobowe,Tak,Tak,Saab,9-3,S 2.0i,I (1998-2002),2000,243 009 km,1 985 cm3,Benzyna+LPG,130 KM,Manualna,Na przednie koła,7.0 l/100km,13 l/100km,Coupe,,2,5,Zielony,Metalik,31/03/2000,WX 72073,Tak,Używane,7900,PLN,2000,243 009 km,Benzyna+LPG,Coupe,,,,Belgia,,Tak,,,,,,,,,,,,,408
9,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-3,1.8t Linear,II (2003-2011),2005,205 293 km,1 998 cm3,Benzyna+LPG,150 KM,Manualna,Na przednie koła,5.0 l/100km,10 l/100km,Sedan,184 g/km,5,5,Granatowy,Metalik,31/03/2005,EZG69707,Tak,Używane,17000,PLN,2005,205 293 km,Benzyna+LPG,Sedan,,Tak,,Holandia,,,,,,,,,,,,,,,409
