,@type_x,price,priceCurrency,itemCondition,availability,version,id,offeredBy.@type,offeredBy.telephone,offeredBy.name,offeredBy.address.@type,offeredBy.address.streetAddress,offeredBy.address.addressLocality,offeredBy.address.postalCode,offeredBy.address.addressCountry,itemOffered.@type,itemOffered.name,itemOffered.image,itemOffered.manufacturer,itemOffered.model,itemOffered.color,itemOffered.bodyType,itemOffered.identifier,itemOffered.productionDate,itemOffered.driveWheelConfiguration,itemOffered.vehicleTransmission,itemOffered.numberOfDoors,itemOffered.seatingCapacity,itemOffered.mileageFromOdometer.@type,itemOffered.mileageFromOdometer.value,itemOffered.mileageFromOdometer.unitText,itemOffered.vehicleInteriorType,itemOffered.numberOfPreviousOwners,itemOffered.hasEnergyConsumptionDetails.@type,itemOffered.hasEnergyConsumptionDetails.energyEfficiencyScaleMax,itemOffered.hasEnergyConsumptionDetails.energyEfficiencyScaleMin,itemOffered.hasEnergyConsumptionDetails.hasEnergyEfficiencyCategory,itemOffered.vehicleEngine,itemOffered.emissionsCO2,@type_y,fuelType,enginePower,engineDisplacement.@type,engineDisplacement.value,engineDisplacement.unitCode,enginevehicleEngine.fuelType,engineengineDisplacement.value,engineengineDisplacement.unitCode,@type,value,unitCode,engine_detailsenginePower.value,engine_detailsenginePower.unitCode,itemOffered.vehicleInteriorColor,itemOffered.fuelConsumption.@type,itemOffered.fuelConsumption.value,itemOffered.fuelConsumption.unitText,offeredBy.image,itemOffered.numberOfForwardGears,itemOffered.fuelConsumption,engineDisplacement
0,Offer,8250,EUR,UsedCondition,InStock,Cabrio 2.0 Turbo SE Aero Documentatie aanwezig! /,0,AutoDealer,+31 (0)513 - 788181,AutoCenter Veenstra,PostalAddress,Produksjewei 15,JOURE,8501 XD,NL,Car,Saab 9-3,https://prod.pictures.autoscout24.net/listing-images/abad095d-5897-413f-bfd3-0e806c2a1295_203ad30a-fe27-4d38-9475-41dc24d4eb43.jpg/1280x960.webp,Saab,9-3,Szary,Kabriolet,abad095d-5897-413f-bfd3-0e806c2a1295,2003-06-01,Na przednie koła,Automatyczna,2.0,4.0,QuantitativeValue,98559,KMT,skóra,1.0,EnergyConsumptionDetails,Euro 6d,Euro 1,EURO3,"[{'@type': 'EngineSpecification', 'fuelType': 'Super 95', 'enginePower': [{'@type': 'QuantitativeValue', 'value': 207, 'unitCode': 'BHP'}, {'@type': 'QuantitativeValue', 'value': 152, 'unitCode': 'KWT'}], 'engineDisplacement': {'@type': 'QuantitativeValue', 'value': 1985, 'unitCode': 'CMQ'}}]",214.0,EngineSpecification,Super 95,"[{'@type': 'QuantitativeValue', 'value': 207, 'unitCode': 'BHP'}, {'@type': 'QuantitativeValue', 'value': 152, 'unitCode': 'KWT'}]",QuantitativeValue,1985.0,CMQ,,,,QuantitativeValue,207.0,BHP,,,,,,,,,,
0,Offer,9950,EUR,UsedCondition,InStock,Cabrio 2.8 V6 T Aero | Perfect onderhouden | Leder,1,AutoDealer,+31 (0)345 - 636020,Jilis autobedrijven,PostalAddress,Sperwerlaan 118,LEERDAM,4143 AW,NL,Car,Saab 9-3,https://prod.pictures.autoscout24.net/listing-images/64aae5b2-2994-406f-b154-9065106861d5_f6800ef9-6e2b-470e-a25c-f629092cbbbb.jpg/1280x960.webp,Saab,9-3,Szary,Kabriolet,64aae5b2-2994-406f-b154-9065106861d5,2006-06-01,Na przednie koła,Manualna,2.0,4.0,QuantitativeValue,287859,KMT,skóra,1.0,EnergyConsumptionDetails,Euro 6d,Euro 1,EURO4,"[{'@type': 'EngineSpecification', 'fuelType': 'Super 95', 'enginePower': [{'@type': 'QuantitativeValue', 'value': 252, 'unitCode': 'BHP'}, {'@type': 'QuantitativeValue', 'value': 185, 'unitCode': 'KWT'}], 'engineDisplacement': {'@type': 'QuantitativeValue', 'value': 2792, 'unitCode': 'CMQ'}}]",0.0,EngineSpecification,Super 95,"[{'@type': 'QuantitativeValue', 'value': 252, 'unitCode': 'BHP'}, {'@type': 'QuantitativeValue', 'value': 185, 'unitCode': 'KWT'}]",QuantitativeValue,2792.0,CMQ,,,,QuantitativeValue,252.0,BHP,,,Czarny,QuantitativeValue,10.6,l/100km,,,,
0,Offer,8800,EUR,UsedCondition,InStock,Cabrio 2.0i-16 Valve | 128Pk! | Lederen Bekleding,2,AutoDealer,+31 (0)527 - 728136,Auto Mudde & Kok B.V.,PostalAddress,Oosteinderweg 104,NUNSPEET,8072 PD,NL,Car,Saab 900,https://prod.pictures.autoscout24.net/listing-images/a6ad9d27-ec46-4537-974f-11f80bf9d7e8_a880f343-abc7-41c3-beb1-e7d98baf9f4a.jpg/1280x960.webp,Saab,900,Czerwony,Kabriolet,a6ad9d27-ec46-4537-974f-11f80bf9d7e8,1990-07-01,Na przednie koła,Manualna,2.0,,QuantitativeValue,271143,KMT,skóra,3.0,EnergyConsumptionDetails,Euro 6d,Euro 1,,"[{'@type': 'EngineSpecification', 'fuelType': 'Super 95', 'enginePower': [{'@type': 'QuantitativeValue', 'value': 128, 'unitCode': 'BHP'}, {'@type': 'QuantitativeValue', 'value': 94, 'unitCode': 'KWT'}], 'engineDisplacement': {'@type': 'QuantitativeValue', 'value': 1985, 'unitCode': 'CMQ'}}]",0.0,EngineSpecification,Super 95,"[{'@type': 'QuantitativeValue', 'value': 128, 'unitCode': 'BHP'}, {'@type': 'QuantitativeValue', 'value': 94, 'unitCode': 'KWT'}]",QuantitativeValue,1985.0,CMQ,,,,QuantitativeValue,128.0,BHP,,,Szary,,,,https://prod.pictures.autoscout24.net/dealer-info/8130010-original-e9098ac4-5d11-4222-b315-9037edabdb92.png/resize/200x100%3E/quality/90,,,
0,Offer,17950,EUR,UsedCondition,InStock,Cabrio 2.0 Turbo intercooler 16V,3,AutoDealer,+31 (0)187 - 788110,'t Klassiekerhuis,PostalAddress,Bommelsedijk 19a,ACHTHUIZEN,3256 LD,NL,Car,Saab 900,https://prod.pictures.autoscout24.net/listing-images/5f37cab1-365e-42c6-a1d8-9403f593e0b6_80d8a888-84a5-4acb-91f6-5e1bca304923.jpg/1280x960.webp,Saab,900,Szary,Kabriolet,5f37cab1-365e-42c6-a1d8-9403f593e0b6,1987-09-01,Na przednie koła,Manualna,2.0,4.0,QuantitativeValue,160891,KMT,skóra,,EnergyConsumptionDetails,Euro 6d,Euro 1,,"[{'@type': 'EngineSpecification', 'enginePower': [{'@type': 'QuantitativeValue', 'value': 175, 'unitCode': 'BHP'}, {'@type': 'QuantitativeValue', 'value': 129, 'unitCode': 'KWT'}], 'engineDisplacement': {'@type': 'QuantitativeValue', 'value': 1985, 'unitCode': 'CMQ'}}]",,EngineSpecification,,"[{'@type': 'QuantitativeValue', 'value': 175, 'unitCode': 'BHP'}, {'@type': 'QuantitativeValue', 'value': 129, 'unitCode': 'KWT'}]",QuantitativeValue,1985.0,CMQ,,,,QuantitativeValue,175.0,BHP,,,Czarny,,,,https://prod.pictures.autoscout24.net/dealer-info/21329398-original-c910e3c0-8869-4596-9481-76787cbee366/resize/200x100%3E/quality/90,,,
0,Offer,6950,EUR,UsedCondition,InStock,Cabrio 2.3 SE Nette | Goed rijdende auto,4,AutoDealer,+31 (0)345 - 788294,AutoBlom B.V.,PostalAddress,Klaverweg 11,ENSPIJK,4157 JA,NL,Car,Saab 900,https://prod.pictures.autoscout24.net/listing-images/ad97089d-3595-43cd-b6c8-019aeddf8e79_3ddf900d-e211-46c9-ad72-aedb4c7d5b08.jpg/1280x960.webp,Saab,900,Czerwony,Kabriolet,ad97089d-3595-43cd-b6c8-019aeddf8e79,1996-04-01,Na przednie koła,Manualna,2.0,4.0,QuantitativeValue,189986,KMT,skóra,6.0,EnergyConsumptionDetails,Euro 6d,Euro 1,EURO2,"[{'@type': 'EngineSpecification', 'fuelType': 'Super 95', 'enginePower': [{'@type': 'QuantitativeValue', 'value': 150, 'unitCode': 'BHP'}, {'@type': 'QuantitativeValue', 'value': 110, 'unitCode': 'KWT'}], 'engineDisplacement': {'@type': 'QuantitativeValue', 'value': 2290, 'unitCode': 'CMQ'}}]",0.0,EngineSpecification,Super 95,"[{'@type': 'QuantitativeValue', 'value': 150, 'unitCode': 'BHP'}, {'@type': 'QuantitativeValue', 'value': 110, 'unitCode': 'KWT'}]",QuantitativeValue,2290.0,CMQ,,,,QuantitativeValue,150.0,BHP,,,Czarny,,,,https://prod.pictures.autoscout24.net/dealer-info/17098266-original-ec1f3460-b089-4a7d-a16b-83844d571d6b.png/resize/200x100%3E/quality/90,,,
0,Offer,3950,EUR,UsedCondition,InStock,SE 2.0i Turbo Coupe Sensonic,5,AutoDealer,+31 (0)186 - 788107,Scherpenisse Auto's B.V.,PostalAddress,Rembrandtstraat 1,OUD-BEIJERLAND,3262 HN,NL,Car,Saab 900,https://prod.pictures.autoscout24.net/listing-images/75bea689-a26c-4cd6-b393-b0042d369353_34978665-39e9-4142-9415-94df09df4a90.jpg/1280x960.webp,Saab,900,Czerwony,Sportowy (Coupe),75bea689-a26c-4cd6-b393-b0042d369353,1997-06-01,,Manualna,2.0,,QuantitativeValue,291071,KMT,skóra,,EnergyConsumptionDetails,Euro 6d,Euro 1,EURO1,"[{'@type': 'EngineSpecification', 'fuelType': 'Super E10 95', 'enginePower': [{'@type': 'QuantitativeValue', 'value': 185, 'unitCode': 'BHP'}, {'@type': 'QuantitativeValue', 'value': 136, 'unitCode': 'KWT'}], 'engineDisplacement': {'@type': 'QuantitativeValue', 'value': 1985, 'unitCode': 'CMQ'}}]",,EngineSpecification,Super E10 95,"[{'@type': 'QuantitativeValue', 'value': 185, 'unitCode': 'BHP'}, {'@type': 'QuantitativeValue', 'value': 136, 'unitCode': 'KWT'}]",QuantitativeValue,1985.0,CMQ,,,,QuantitativeValue,185.0,BHP,,,,QuantitativeValue,10.4,l/100km,https://prod.pictures.autoscout24.net/dealer-info/9179-original-266bda21-3f77-4f2d-9959-797c5ed900a8/resize/200x100%3E/quality/90,5.0,,
0,Offer,16950,EUR,UsedCondition,InStock,2.0 Turbo Aero  AUTOMAAT,6,AutoDealer,+31 (0)186 - 788107,Scherpenisse Auto's B.V.,PostalAddress,Rembrandtstraat 1,OUD-BEIJERLAND,3262 HN,NL,Car,Saab 9-3,https://prod.pictures.autoscout24.net/listing-images/ffc5f541-d11d-46c2-8d4e-a891b6b697b8_53246f72-1992-431d-bd2b-ad1e017c74f1.jpg/1280x960.webp,Saab,9-3,Czarny,Limuzyna,ffc5f541-d11d-46c2-8d4e-a891b6b697b8,2010-05-01,,Automatyczna,4.0,,QuantitativeValue,107305,KMT,Pozostałe,,EnergyConsumptionDetails,Euro 6d,Euro 1,EURO1,"[{'@type': 'EngineSpecification', 'fuelType': 'Super E10 95', 'enginePower': [{'@type': 'QuantitativeValue', 'value': 200, 'unitCode': 'BHP'}, {'@type': 'QuantitativeValue', 'value': 147, 'unitCode': 'KWT'}], 'engineDisplacement': {'@type': 'QuantitativeValue', 'value': 1998, 'unitCode': 'CMQ'}}]",,EngineSpecification,Super E10 95,"[{'@type': 'QuantitativeValue', 'value': 200, 'unitCode': 'BHP'}, {'@type': 'QuantitativeValue', 'value': 147, 'unitCode': 'KWT'}]",QuantitativeValue,1998.0,CMQ,,,,QuantitativeValue,200.0,BHP,,,,,,,https://prod.pictures.autoscout24.net/dealer-info/9179-original-266bda21-3f77-4f2d-9959-797c5ed900a8/resize/200x100%3E/quality/90,5.0,,
0,Offer,18950,EUR,UsedCondition,InStock,Cabrio 2.0T Aero Liefhebbers auto | Leder | Zeer m,7,AutoDealer,+31 (0)345 - 788294,AutoBlom B.V.,PostalAddress,Klaverweg 11,ENSPIJK,4157 JA,NL,Car,Saab 9-3,https://prod.pictures.autoscout24.net/listing-images/db974857-f136-4a92-8e12-787d46d90e86_910689b4-050e-4249-a85b-63fdf3aec122.jpg/1280x960.webp,Saab,9-3,Szary,Kabriolet,db974857-f136-4a92-8e12-787d46d90e86,2004-04-01,Na przednie koła,Automatyczna,2.0,4.0,QuantitativeValue,97591,KMT,skóra,,EnergyConsumptionDetails,Euro 6d,Euro 1,EURO4,"[{'@type': 'EngineSpecification', 'fuelType': 'Super 95', 'enginePower': [{'@type': 'QuantitativeValue', 'value': 209, 'unitCode': 'BHP'}, {'@type': 'QuantitativeValue', 'value': 154, 'unitCode': 'KWT'}], 'engineDisplacement': {'@type': 'QuantitativeValue', 'value': 1998, 'unitCode': 'CMQ'}}]",235.0,EngineSpecification,Super 95,"[{'@type': 'QuantitativeValue', 'value': 209, 'unitCode': 'BHP'}, {'@type': 'QuantitativeValue', 'value': 154, 'unitCode': 'KWT'}]",QuantitativeValue,1998.0,CMQ,,,,QuantitativeValue,209.0,BHP,,,,QuantitativeValue,10.0,l/100km,https://prod.pictures.autoscout24.net/dealer-info/17098266-original-ec1f3460-b089-4a7d-a16b-83844d571d6b.png/resize/200x100%3E/quality/90,,,
0,Offer,4390,EUR,UsedCondition,InStock,2.0t Arc/SitzH/Leder/Klima/,8,AutoDealer,+49 (0)6322 - 3043021,Hauck Automobile GmbH,PostalAddress,Mannheimer Straße 70,Bad Duerkheim,67098,DE,Car,Saab 9-5,https://prod.pictures.autoscout24.net/listing-images/102a6617-63fb-4ce7-b08f-717c95368273_5dea7f7f-567c-42b5-b758-052f2c5645e9.jpg/1280x960.webp,Saab,9-5,Czarny,Limuzyna,102a6617-63fb-4ce7-b08f-717c95368273,2004-04-01,,Manualna,4.0,5.0,QuantitativeValue,168135,KMT,skóra,,EnergyConsumptionDetails,Euro 6d,Euro 1,EURO3,"[{'@type': 'EngineSpecification', 'enginePower': [{'@type': 'QuantitativeValue', 'value': 150, 'unitCode': 'BHP'}, {'@type': 'QuantitativeValue', 'value': 110, 'unitCode': 'KWT'}], 'engineDisplacement': {'@type': 'QuantitativeValue', 'value': 1985, 'unitCode': 'CMQ'}}]",214.0,EngineSpecification,,"[{'@type': 'QuantitativeValue', 'value': 150, 'unitCode': 'BHP'}, {'@type': 'QuantitativeValue', 'value': 110, 'unitCode': 'KWT'}]",QuantitativeValue,1985.0,CMQ,,,,QuantitativeValue,150.0,BHP,,,Czarny,QuantitativeValue,9.0,l/100km,https://prod.pictures.autoscout24.net/dealer-info/30220572-original-a52db5eb-5240-42c7-a4fe-4a06200be88c.png/resize/200x100%3E/quality/90,,,
0,Offer,24950,EUR,UsedCondition,InStock,9-3  V6 TURBO AERO,9,AutoDealer,+32 (0)11 - 231561,Mastercar,PostalAddress,Het Dorlik 2,Hasselt,3500,BE,Car,Saab 9-3,https://prod.pictures.autoscout24.net/listing-images/b6d01b20-6cf7-4897-aea8-55f5572045ed_fcafcdad-68c9-4f9d-91b6-35b190ab3737.jpg/1280x960.webp,Saab,9-3,Biały,Kabriolet,b6d01b20-6cf7-4897-aea8-55f5572045ed,2007-05-01,,Automatyczna,2.0,5.0,QuantitativeValue,56140,KMT,skóra,1.0,EnergyConsumptionDetails,Euro 6d,Euro 1,EURO4,"[{'@type': 'EngineSpecification', 'enginePower': [{'@type': 'QuantitativeValue', 'value': 252, 'unitCode': 'BHP'}, {'@type': 'QuantitativeValue', 'value': 185, 'unitCode': 'KWT'}], 'engineDisplacement': {'@type': 'QuantitativeValue', 'value': 2792, 'unitCode': 'CMQ'}}]",,EngineSpecification,,"[{'@type': 'QuantitativeValue', 'value': 252, 'unitCode': 'BHP'}, {'@type': 'QuantitativeValue', 'value': 185, 'unitCode': 'KWT'}]",QuantitativeValue,2792.0,CMQ,,,,QuantitativeValue,252.0,BHP,,,Pozostałe,,,,https://prod.pictures.autoscout24.net/dealer-info/4935-original-b3546a50-7dd5-40cc-bb8d-897d47d3e187/resize/200x100%3E/quality/90,6.0,,
